time,ohc_mean,ohc_min,ohc_max
19910516,-1.3534325506420885e+23,-1.4496936630158085e+23,-1.2472951478683367e+23
19910616,-1.350301787792729e+23,-1.4470915131751113e+23,-1.2451819238151856e+23
19910716,-1.3502638479682684e+23,-1.4476699329932526e+23,-1.2472815019614657e+23
19910816,-1.3511809099555904e+23,-1.4492450519509267e+23,-1.2513217862711712e+23
19910916,-1.3541293580848345e+23,-1.4513166702495203e+23,-1.2585759443589594e+23
19911016,-1.3576290017724726e+23,-1.4517247939537519e+23,-1.2684384072069356e+23
19911116,-1.3674045121212433e+23,-1.4576866666464644e+23,-1.2858747236682483e+23
19920016,-1.3764323874018736e+23,-1.4614584388403866e+23,-1.3019290955719037e+23
19920116,-1.3902323549100593e+23,-1.471447415307895e+23,-1.3190722877454695e+23
19920216,-1.4017155221511377e+23,-1.4776055473663688e+23,-1.336374464491881e+23
19920316,-1.4091776459613186e+23,-1.4824579808088767e+23,-1.3496805372409317e+23
19920416,-1.4173383621408978e+23,-1.4899464536792777e+23,-1.3620987703594423e+23
19920516,-1.4249311804122657e+23,-1.4969687064102539e+23,-1.3743445231182243e+23
19920616,-1.4338920886676367e+23,-1.5056975231600284e+23,-1.387594068185952e+23
19920716,-1.4439778144647399e+23,-1.5139388702861363e+23,-1.3997451853045641e+23
19920816,-1.4539270811931339e+23,-1.5230785504299157e+23,-1.411475988975953e+23
19920916,-1.458642165355406e+23,-1.5271507277309822e+23,-1.417132802841906e+23
19921016,-1.463178315499683e+23,-1.529820926962049e+23,-1.42265919996865e+23
19921116,-1.4647702448935663e+23,-1.528563461898092e+23,-1.4250652255515745e+23
19930016,-1.4674173796897415e+23,-1.5314218290275897e+23,-1.4279381318018692e+23
19930116,-1.4709382128136262e+23,-1.534960509916798e+23,-1.4332515837262323e+23
19930216,-1.4713979282539892e+23,-1.536231050431673e+23,-1.432824710035552e+23
19930316,-1.4703671698916747e+23,-1.5337661552956193e+23,-1.430855608676476e+23
19930416,-1.4700982839771225e+23,-1.5322940036374255e+23,-1.4303148389512195e+23
19930516,-1.4663628888585903e+23,-1.527450704996162e+23,-1.4266894262391876e+23
19930616,-1.4629569575731985e+23,-1.5218995530834664e+23,-1.4232722449619264e+23
19930716,-1.4528137973700474e+23,-1.5102587538506303e+23,-1.4136207757564926e+23
19930816,-1.4441700791376318e+23,-1.4974590658436814e+23,-1.4057142262266834e+23
19930916,-1.4374741197056579e+23,-1.4860731703497546e+23,-1.399552971672468e+23
19931016,-1.4315130741740772e+23,-1.4777051970141238e+23,-1.3930800380000409e+23
19931116,-1.424070917823444e+23,-1.4697161640571393e+23,-1.3859956280882076e+23
19940016,-1.4162679270658665e+23,-1.4610093699095426e+23,-1.3784287025122978e+23
19940116,-1.4079925087073775e+23,-1.4515733153802853e+23,-1.3703697361590997e+23
19940216,-1.3971280564915065e+23,-1.4415289821673572e+23,-1.3597065483093757e+23
19940316,-1.3908993515256718e+23,-1.4356034385116388e+23,-1.3539906547223109e+23
19940416,-1.3808694028099535e+23,-1.4248939086217494e+23,-1.3439660923117469e+23
19940516,-1.3720322834963402e+23,-1.4149229615647492e+23,-1.3357055748632252e+23
19940616,-1.3637018806900009e+23,-1.405082543836949e+23,-1.3278849014723106e+23
19940716,-1.3570826851136753e+23,-1.3982811101017022e+23,-1.3213841655781839e+23
19940816,-1.3472539992629044e+23,-1.389758175408893e+23,-1.3115056473975361e+23
19940916,-1.3390728877818125e+23,-1.3818581410865447e+23,-1.3042669891984654e+23
19941016,-1.3302841806629934e+23,-1.3726806156938966e+23,-1.2966160114415102e+23
19941116,-1.3230595286587638e+23,-1.3635408604901234e+23,-1.2903885314547742e+23
19950016,-1.3137906987884702e+23,-1.3525327719689367e+23,-1.279785789418049e+23
19950116,-1.3010262619570045e+23,-1.340675980097972e+23,-1.2662629434069343e+23
19950216,-1.2948591977592699e+23,-1.3343422226660295e+23,-1.2588947091405847e+23
19950316,-1.2908982458582005e+23,-1.3310912467330164e+23,-1.252535198624773e+23
19950416,-1.2929523481566433e+23,-1.3338512627526517e+23,-1.2525717753597466e+23
19950516,-1.2956437743539536e+23,-1.3376710583306004e+23,-1.2525286083573183e+23
19950616,-1.2943878900534659e+23,-1.3383507941283587e+23,-1.2486386617091738e+23
19950716,-1.2941605273274777e+23,-1.3396960643730506e+23,-1.2451774802635534e+23
19950816,-1.295552987790265e+23,-1.342676201330473e+23,-1.242784650227537e+23
19950916,-1.2943445068782554e+23,-1.3434849427395574e+23,-1.2390973580566248e+23
19951016,-1.2913128772638934e+23,-1.3436325857473414e+23,-1.2325210517607509e+23
19951116,-1.2899527511452306e+23,-1.3458667689804842e+23,-1.227603053413668e+23
19960016,-1.2892517478488319e+23,-1.3476480627290994e+23,-1.2270733024954998e+23
19960116,-1.2880066406622527e+23,-1.3486705524824981e+23,-1.2255569630189623e+23
19960216,-1.2859438944549252e+23,-1.3483973416111037e+23,-1.2238739453202158e+23
19960316,-1.2780531450538086e+23,-1.3412680157989868e+23,-1.2184316754345111e+23
19960416,-1.2672405893176434e+23,-1.3306478748557012e+23,-1.209740778993599e+23
19960516,-1.2558287741066611e+23,-1.3196044330774396e+23,-1.2004525926521072e+23
19960616,-1.2467928899246938e+23,-1.3117034079631734e+23,-1.1936939806433171e+23
19960716,-1.235013507425324e+23,-1.300542174536658e+23,-1.1845439722443922e+23
19960816,-1.222162478382623e+23,-1.2881247145360832e+23,-1.1738610436163018e+23
19960916,-1.2078972575077328e+23,-1.2754410467615345e+23,-1.1598332314969682e+23
19961016,-1.194157133831396e+23,-1.2623800674102048e+23,-1.1476281237248232e+23
19961116,-1.1801642621391712e+23,-1.2466465169320046e+23,-1.1374285364207409e+23
19970016,-1.1708121141745716e+23,-1.234216026516508e+23,-1.1315834720903637e+23
19970116,-1.1636793866435357e+23,-1.2243544268584605e+23,-1.1266308260501475e+23
