time,ohc_mean,ohc_min,ohc_max
19931116,-2.0884264830028184e+23,-2.1273184584968814e+23,-1.9871559447059798e+23
19940016,-2.0778697422338867e+23,-2.116094197193581e+23,-1.9789509566408638e+23
19940116,-2.0676017962922606e+23,-2.106200479364191e+23,-1.9698732610399556e+23
19940216,-2.0552387728015814e+23,-2.0948853204084115e+23,-1.9564558067661206e+23
19940316,-2.0471004920541458e+23,-2.089834803642293e+23,-1.947491001395872e+23
19940416,-2.0351868197198876e+23,-2.081202018648573e+23,-1.938373989370217e+23
19940516,-2.0242324591422552e+23,-2.0719738577841142e+23,-1.932624108617964e+23
19940616,-2.0136253290982934e+23,-2.0624262265740887e+23,-1.926100029065769e+23
19940716,-2.0048499391235725e+23,-2.0538664899663247e+23,-1.921197380487416e+23
19940816,-1.9931885073996435e+23,-2.041410809416912e+23,-1.912141076984738e+23
19940916,-1.9833129991247466e+23,-2.0316906302931636e+23,-1.9055722166402478e+23
19941016,-1.973356335984565e+23,-2.0219900568397927e+23,-1.898538840018192e+23
19941116,-1.9652425127855054e+23,-2.0141490647085593e+23,-1.8946359905571152e+23
19950016,-1.9546071181502818e+23,-2.005198730905113e+23,-1.888471253219188e+23
19950116,-1.9409994468401856e+23,-1.993467229175782e+23,-1.8757551895513197e+23
19950216,-1.933541921205224e+23,-1.987634452166388e+23,-1.8706912670703106e+23
19950316,-1.9285519448276967e+23,-1.9825518847829215e+23,-1.8677513022215643e+23
19950416,-1.9290795265120443e+23,-1.9827348660357816e+23,-1.8703410671632863e+23
19950516,-1.930662688898653e+23,-1.9852595689748866e+23,-1.871831938783931e+23
19950616,-1.928426489554077e+23,-1.984914803411413e+23,-1.8692429544661446e+23
19950716,-1.92742645925202e+23,-1.9879700153746233e+23,-1.8680680704073547e+23
19950816,-1.9283978376532475e+23,-1.9942151719898968e+23,-1.8680150029917457e+23
19950916,-1.9270221140678753e+23,-1.99614031071061e+23,-1.864881968826974e+23
19951016,-1.9235236338101408e+23,-1.9972658653414813e+23,-1.8611719334779436e+23
19951116,-1.921239122851162e+23,-1.9999436005959244e+23,-1.8591164005360192e+23
19960016,-1.9193543694095074e+23,-2.0018413574309035e+23,-1.8574873434668082e+23
19960116,-1.916923689621023e+23,-2.0025737027783088e+23,-1.8577972962051624e+23
19960216,-1.9145139275516074e+23,-2.0021066945089493e+23,-1.8569303532768935e+23
19960316,-1.9068617113047545e+23,-1.9951979625125805e+23,-1.8504453949934614e+23
19960416,-1.896658431048978e+23,-1.9851415746646495e+23,-1.8397626915453524e+23
19960516,-1.885540439684885e+23,-1.9744775311309967e+23,-1.8284005900694567e+23
19960616,-1.877554888010412e+23,-1.9678706604056516e+23,-1.8207588071617408e+23
19960716,-1.8666534417260018e+23,-1.957632086940795e+23,-1.8087980722113766e+23
19960816,-1.8540940102507735e+23,-1.94556077360758e+23,-1.796713142995288e+23
19960916,-1.8399366085533624e+23,-1.9331764150642663e+23,-1.7844260021559304e+23
19961016,-1.826951037474193e+23,-1.9209139689628657e+23,-1.770258608472146e+23
19961116,-1.814206054691918e+23,-1.9063077145073926e+23,-1.7558544605559505e+23
19970016,-1.806487764633732e+23,-1.8953485050541615e+23,-1.7465066540613915e+23
19970116,-1.8006406391559253e+23,-1.886726213447573e+23,-1.7383185544948778e+23
19970216,-1.7914122080754894e+23,-1.8746287792365192e+23,-1.726343077761733e+23
19970316,-1.7798710104520122e+23,-1.8605962083135794e+23,-1.7126245878768062e+23
19970416,-1.7671419493956192e+23,-1.847810774199451e+23,-1.6963654072740967e+23
19970516,-1.753417094423219e+23,-1.8349799588130774e+23,-1.678192632177719e+23
19970616,-1.735844171775609e+23,-1.815111863684971e+23,-1.659085525290648e+23
19970716,-1.723551227297532e+23,-1.7992488046934864e+23,-1.649339195265063e+23
19970816,-1.7149441938864812e+23,-1.7867490639277196e+23,-1.6414022614497678e+23
19970916,-1.708645795716413e+23,-1.7783342981919603e+23,-1.6321806608287666e+23
19971016,-1.7060230914470166e+23,-1.7729766959792504e+23,-1.627396967328571e+23
19971116,-1.7023209704237314e+23,-1.767844273747909e+23,-1.6222953046826846e+23
19980016,-1.69818346841007e+23,-1.762839978925966e+23,-1.6183364304422435e+23
19980116,-1.6958880677471922e+23,-1.7604392750966014e+23,-1.617708808798173e+23
19980216,-1.6969559192572376e+23,-1.7617734965102073e+23,-1.6229380283975055e+23
19980316,-1.7021040650560783e+23,-1.767369219047215e+23,-1.6323541094624155e+23
19980416,-1.7091252068991463e+23,-1.7723548839786994e+23,-1.6448704534988084e+23
19980516,-1.717621208564984e+23,-1.7768294203764744e+23,-1.659462176339484e+23
19980616,-1.728288854978339e+23,-1.785793129870814e+23,-1.673457772709483e+23
19980716,-1.7362024181139675e+23,-1.79395521364348e+23,-1.6807009870501767e+23
19980816,-1.7410027058775904e+23,-1.8001068605184904e+23,-1.6865402342310353e+23
19980916,-1.743236698458349e+23,-1.802008310305164e+23,-1.690727470996582e+23
19981016,-1.744137778671793e+23,-1.8043292403731294e+23,-1.692819663239473e+23
19981116,-1.7447757826142046e+23,-1.8069561750237757e+23,-1.694676617461828e+23
19990016,-1.740186530526721e+23,-1.8037247522191448e+23,-1.6912961855575262e+23
19990116,-1.7360771700059307e+23,-1.7983713233420895e+23,-1.6885019421807228e+23
19990216,-1.72983004381642e+23,-1.790565549359942e+23,-1.6825843473783467e+23
19990316,-1.721897718684744e+23,-1.7834658797513713e+23,-1.673472529504262e+23
19990416,-1.710580947440298e+23,-1.7740650058412034e+23,-1.6593485805448828e+23
19990516,-1.6971491897340464e+23,-1.763204905603772e+23,-1.64397776499267e+23
19990616,-1.683706722467881e+23,-1.7534354120641036e+23,-1.6272040481325334e+23
19990716,-1.668129053582383e+23,-1.74062369194015e+23,-1.6107023336778915e+23
19990816,-1.652439711939325e+23,-1.725604397350852e+23,-1.5948572965909157e+23
19990916,-1.6362774533041963e+23,-1.7088676250196586e+23,-1.5788888984041467e+23
19991016,-1.6207147558850598e+23,-1.690428822293292e+23,-1.565712641914355e+23
19991116,-1.6062432521328375e+23,-1.672582408049911e+23,-1.553215685874358e+23
20000016,-1.5934445173878096e+23,-1.6583924363199947e+23,-1.5401659204861005e+23
20000116,-1.5804821848827174e+23,-1.6450812369733682e+23,-1.5257004185309812e+23
20000216,-1.5680683923134394e+23,-1.6330895322695662e+23,-1.5101522587314419e+23
20000316,-1.5536975500176883e+23,-1.6162788858924852e+23,-1.496692635753096e+23
20000416,-1.5419916527534383e+23,-1.6018414563750437e+23,-1.4876164713760613e+23
20000516,-1.5295398002637093e+23,-1.5882565432550643e+23,-1.4760787670446952e+23
20000616,-1.5147196098139372e+23,-1.5720172835747066e+23,-1.4631182780130509e+23
20000716,-1.5027798556330372e+23,-1.5585338815903284e+23,-1.4523954474922618e+23
20000816,-1.4906680639463712e+23,-1.5445579959746984e+23,-1.4421405559847554e+23
20000916,-1.4786646904159349e+23,-1.5309064445922327e+23,-1.431953743891616e+23
20001016,-1.4632517121640104e+23,-1.515473299221177e+23,-1.417045605647121e+23
20001116,-1.446791783607911e+23,-1.5010327697259917e+23,-1.4001997486269533e+23
20010016,-1.429918119862444e+23,-1.4852039080676776e+23,-1.3844824936734048e+23
20010116,-1.4104163550340274e+23,-1.465776227453131e+23,-1.3674541357843374e+23
20010216,-1.3919427424849409e+23,-1.447112027071414e+23,-1.3523261017820366e+23
20010316,-1.3751863209485736e+23,-1.4322930225695439e+23,-1.3344794548526748e+23
20010416,-1.355498959777113e+23,-1.4153630007783402e+23,-1.3120079338639767e+23
20010516,-1.3365351153965888e+23,-1.3964994035231212e+23,-1.2919703907998905e+23
20010616,-1.3185661026629515e+23,-1.377140004984925e+23,-1.2737499601134558e+23
20010716,-1.3004257369706922e+23,-1.3568548840373236e+23,-1.2559609517533248e+23
20010816,-1.2845359476142193e+23,-1.3393893992624242e+23,-1.238760556358492e+23
20010916,-1.2673956077204172e+23,-1.3217903152045789e+23,-1.2195414824786853e+23
20011016,-1.2505348002506867e+23,-1.3051666582840265e+23,-1.1989658643431196e+23
20011116,-1.2340426724584516e+23,-1.2869520897831066e+23,-1.1797188080976282e+23
20020016,-1.2175183094012835e+23,-1.2691749033719976e+23,-1.1598123498066959e+23
20020116,-1.203710808872121e+23,-1.2543988331865751e+23,-1.1432285122128487e+23
20020216,-1.1876308009781869e+23,-1.2374006794390087e+23,-1.1259114060336725e+23
20020316,-1.1716572882034414e+23,-1.218783331505415e+23,-1.1112489841848468e+23
20020416,-1.1528299239084244e+23,-1.196297886887869e+23,-1.0942277645011889e+23
20020516,-1.1370267702979832e+23,-1.1788454250218922e+23,-1.0795593153348618e+23
20020616,-1.1220685460208324e+23,-1.1626761437737445e+23,-1.0662829062953568e+23
20020716,-1.1067355607054892e+23,-1.1469921704214422e+23,-1.0525631929325309e+23
20020816,-1.0889613691881323e+23,-1.1290603078811312e+23,-1.0361800357380795e+23
20020916,-1.0707967501106798e+23,-1.1107984741021221e+23,-1.0204015543475968e+23
20021016,-1.05132656602405e+23,-1.0912910722681718e+23,-1.0058227343198539e+23
20021116,-1.0311414189833765e+23,-1.0714794372673938e+23,-9.894781879862076e+22
20030016,-1.0076266796733947e+23,-1.047816826767247e+23,-9.688060276866299e+22
20030116,-9.815391705054848e+22,-1.02149058478549e+23,-9.440146049518814e+22
20030216,-9.564892051233283e+22,-9.973287427606499e+22,-9.17454250849495e+22
