Time (years),Mean Sea Level (cm),90% C.L. uncertainty,OLS fit
2020.943189596167,9.802917933568892,0.4218637805777236,9.783553782287472
2020.945927446954,9.803515339488149,0.42208064481183577,9.784841638488698
2020.9486652977412,9.804093365388233,0.42200814880420046,9.786129575131017
2020.9514031485285,9.804652514406625,0.4221162989736091,9.787417592214425
2020.9541409993155,9.805193305839383,0.422154447942338,9.788705689738922
2020.9568788501026,9.80571627000115,0.4222392310945093,9.789993867704512
2020.95961670089,9.806221944840638,0.4224571161504115,9.791282126111192
2020.962354551677,9.806710871638492,0.4224373460979882,9.792570464958962
2020.965092402464,9.80718358908812,0.42247572142623696,9.793858884247822
2020.9678302532511,9.807640632859826,0.42281038690724965,9.795147383977772
2020.9705681040384,9.80808253479377,0.42269480236424434,9.796435964148815
2020.9733059548255,9.808509825947622,0.42280918546455426,9.797724624760946
2020.9760438056126,9.808923036924954,0.42268811267998596,9.799013365814169
2020.9787816563996,9.809322700853993,0.4230356781079672,9.800302187308484
2020.981519507187,9.809709354109685,0.42306448535133584,9.801591089243887
2020.984257357974,9.81008353992877,0.4232948148232994,9.80288007162038
2020.986995208761,9.810445811814526,0.42309669612969525,9.804169134437965
2020.9897330595481,9.810796735763159,0.423400268974667,9.805458277696639
2020.9924709103354,9.811136888955723,0.4235284776438664,9.806747501396407
2020.9952087611225,9.811466862840494,0.42352829695751376,9.808036805537261
2020.9979466119096,9.811787260694828,0.4236077450943858,9.809326190119208
2021.0006844626969,9.812098697992074,0.42386437166313135,9.810615655142247
2021.003422313484,9.812401803901519,0.42373310146859716,9.811905200606374
2021.006160164271,9.812697220082194,0.4238360108689762,9.813194826511593
2021.008898015058,9.812985596510932,0.4240987213167985,9.8144845328579
2021.0116358658454,9.813267593289389,0.4241895661933356,9.8157743196453
2021.0143737166325,9.813543884690924,0.42421953600347956,9.817064186873791
2021.0171115674195,9.813815154231573,0.42439841859204935,9.81835413454337
2021.0198494182066,9.814082095775493,0.42449902329163214,9.819644162654042
2021.022587268994,9.81434541535529,0.42455446839441263,9.820934271205804
2021.025325119781,9.81460583346711,0.42446993693686874,9.822224460198655
2021.028062970568,9.814864082254083,0.42474278931632675,9.823514729632597
2021.0308008213553,9.815120901802665,0.42491726964967586,9.82480507950763
2021.0335386721424,9.815377038753013,0.42497238470829873,9.826095509823753
2021.0362765229295,9.815633245640319,0.4250475448033178,9.827386020580969
2021.0390143737166,9.815890278702081,0.4251480542964181,9.828676611779272
2021.0417522245039,9.81614889760869,0.42530247102686725,9.829967283418666
2021.044490075291,9.816409866299853,0.425727326259612,9.831258035499152
2021.047227926078,9.816673950722459,0.4255590886388224,9.832548868020726
2021.049965776865,9.81694191613055,0.4254330557695827,9.833839780983395
2021.0527036276524,9.817214528252757,0.4257722942465388,9.835130774387151
2021.0554414784394,9.817492551234269,0.4257773230551996,9.836421848232
2021.0581793292265,9.817776746133651,0.4260813250604732,9.837713002517939
2021.0609171800138,9.818067874134004,0.4261963099925076,9.839004237244966
2021.0636550308009,9.818366697124858,0.4261350109704123,9.840295552413085
2021.066392881588,9.818673975557788,0.4261355693603278,9.841586948022295
2021.069130732375,9.818990464640352,0.42622967513728977,9.842878424072595
2021.0718685831623,9.819316913351864,0.42645774583462076,9.844169980563986
2021.0746064339494,9.819654059307574,0.4266415388667538,9.845461617496467
2021.0773442847365,9.820002624808525,0.4268046034569655,9.846753334870039
2021.0800821355235,9.820363312948095,0.4267750695494058,9.848045132684701
2021.0828199863108,9.82073680802795,0.426929131625886,9.849337010940454
2021.085557837098,9.82112377660862,0.42714407672278215,9.850628969637297
2021.088295687885,9.82152486441256,0.42739172084812277,9.85192100877523
2021.091033538672,9.821940699157178,0.4272745695329479,9.853213128354254
2021.0937713894593,9.822371889024645,0.4272479269834232,9.85450532837437
