time,ohc_mean,ohc_min,ohc_max
19910616,-7.0134334294039156e+22,-8.089838603703753e+22,-5.786954196735263e+22
19910716,-7.024830005934959e+22,-8.089119904263218e+22,-5.813020130658558e+22
19910816,-7.039613799793742e+22,-8.091879484934889e+22,-5.842436855294607e+22
19910916,-7.054121688127354e+22,-8.095764365033453e+22,-5.867329076095015e+22
19911016,-7.070685011824899e+22,-8.10144940896307e+22,-5.8895582809057625e+22
19911116,-7.084029072436806e+22,-8.10390274486008e+22,-5.9088990645654995e+22
19920016,-7.095179016840254e+22,-8.101547512374954e+22,-5.92785509069707e+22
19920116,-7.100237970349676e+22,-8.091937956670052e+22,-5.938499498536348e+22
19920216,-7.099265342950151e+22,-8.07627766474579e+22,-5.939433920399034e+22
19920316,-7.1022841958523705e+22,-8.064076062275354e+22,-5.947102837494505e+22
19920416,-7.099963686120371e+22,-8.047144178996305e+22,-5.9501257286243894e+22
19920516,-7.092586234486785e+22,-8.023866198422334e+22,-5.947801946276661e+22
19920616,-7.083452333962527e+22,-7.998832189293657e+22,-5.945233168109202e+22
19920716,-7.068554186203205e+22,-7.969681890105564e+22,-5.936706540464699e+22
19920816,-7.046559851619024e+22,-7.932694351785926e+22,-5.921703136076086e+22
19920916,-7.024983676260244e+22,-7.895657911880336e+22,-5.909453607799616e+22
19921016,-7.002481260578102e+22,-7.859129890842678e+22,-5.8979958498676355e+22
19921116,-6.982208306855494e+22,-7.824890749255636e+22,-5.888749171702709e+22
19930016,-6.958101273638119e+22,-7.788821419840026e+22,-5.8774660783762764e+22
19930116,-6.9274042657e+22,-7.747985030218844e+22,-5.860420629326623e+22
19930216,-6.897539935802985e+22,-7.70733745401204e+22,-5.844955455856217e+22
19930316,-6.8632395002250174e+22,-7.662070235427466e+22,-5.823948302804357e+22
19930416,-6.8337728306691004e+22,-7.622424447427773e+22,-5.8078655732350475e+22
19930516,-6.808859983382399e+22,-7.586760892338589e+22,-5.79835145631225e+22
19930616,-6.785665874845488e+22,-7.552802625248309e+22,-5.790197163766938e+22
